product_id,product_name,category,subcategory,price,cost,popularity,weekday_bias
1,Laptop Pro 14,Electronics,Electronics,78000,58000,1.3171914051325224,0.0
2,Laptop Air 13,Electronics,Electronics,62000,47000,1.259228712482538,0.0
3,Wireless Headphones,Electronics,Electronics,4500,2600,1.7108217399199956,0.0
4,Smartwatch X2,Electronics,Electronics,9500,6200,1.38884427702491,0.0
5,4K Monitor 27in,Electronics,Electronics,21000,15500,1.170004555961804,0.0
6,Bluetooth Speaker,Electronics,Electronics,3200,1900,1.222592896125255,0.0
7,Mechanical Keyboard,Electronics,Electronics,5200,3300,1.0946349382158587,0.0
8,Wireless Mouse,Electronics,Electronics,1400,750,1.7516117772180702,0.0
9,Power Bank 20000mAh,Electronics,Electronics,1800,950,1.0222905108386333,0.0
10,Tablet 10in,Electronics,Electronics,26000,19500,0.990790848786951,0.0
11,Air Fryer 4L,Home & Kitchen,Home & Kitchen,6800,4200,0.8907726961277335,0.1
12,Mixer Grinder,Home & Kitchen,Home & Kitchen,3400,2100,1.3051768518210132,0.1
13,Non-stick Cookware Set,Home & Kitchen,Home & Kitchen,4200,2600,1.1154880791765136,0.1
14,Electric Kettle,Home & Kitchen,Home & Kitchen,1500,850,1.183056569668811,0.1
15,Vacuum Cleaner,Home & Kitchen,Home & Kitchen,9800,6900,1.006102905774385,0.1
16,Induction Cooktop,Home & Kitchen,Home & Kitchen,2600,1600,0.8153274704624522,0.1
17,Water Purifier,Home & Kitchen,Home & Kitchen,12500,8700,1.3350643872448311,0.1
18,Ceiling Fan Premium,Home & Kitchen,Home & Kitchen,3100,2000,0.8966502196027689,0.1
19,Men's Casual Shirt,Apparel,Apparel,1200,650,0.9357861764251895,0.15
20,Women's Kurti,Apparel,Apparel,1400,700,1.3567092260278912,0.15
21,Denim Jeans,Apparel,Apparel,1900,1000,0.9749655918999888,0.15
22,Running Shoes,Apparel,Apparel,3400,1900,0.9846942444506708,0.15
23,Winter Jacket,Apparel,Apparel,4800,2700,1.5342940845563697,0.15
24,Formal Blazer,Apparel,Apparel,5200,2900,1.2934554796680366,0.15
25,Cotton T-Shirt Pack,Apparel,Apparel,900,420,1.0983765927527716,0.15
26,Yoga Mat Premium,Sports & Fitness,Sports & Fitness,1100,550,0.8182582686141401,-0.05
27,Adjustable Dumbbell Set,Sports & Fitness,Sports & Fitness,6500,4300,1.0237901285753126,-0.05
28,Treadmill Home,Sports & Fitness,Sports & Fitness,42000,31000,0.6658312381685649,-0.05
29,Cricket Bat Pro,Sports & Fitness,Sports & Fitness,3200,1800,0.6928995326039333,-0.05
30,Cycling Helmet,Sports & Fitness,Sports & Fitness,1600,850,0.9627814988949076,-0.05
31,Resistance Band Kit,Sports & Fitness,Sports & Fitness,800,380,0.9577647366122379,-0.05
32,Ergonomic Office Chair,Office Supplies,Office Supplies,8900,6100,1.0267818485769786,0.25
33,Standing Desk,Office Supplies,Office Supplies,15500,11200,0.7397837510026158,0.25
34,Notebook Pack (5),Office Supplies,Office Supplies,350,150,0.5912372610452076,0.25
35,Printer Ink Cartridge,Office Supplies,Office Supplies,1200,650,0.8180179687278214,0.25
36,Desk Organizer,Office Supplies,Office Supplies,650,300,0.8664064696456594,0.25
37,LED Desk Lamp,Office Supplies,Office Supplies,1400,750,0.6270093371773996,0.25
